dbn,tract,tract_lookup,tract_guess,boro
27Q260,100802,100802,100802,Queens
21K559,030600,030600,030600,Brooklyn
16K393,029100,029100,029100,Brooklyn
08X305,001600,001600,001600,Bronx
03M485,015100,015100,015100,Manhattan
02M305,001800,001800,001800,Manhattan
11X509,032400,032400,032400,Bronx
17K122,031100,031100,031100,Brooklyn
08X348,019400,019400,019400,Bronx
24Q236,046100,046100,046100,Queens
23K644,030100,030100,030100,Brooklyn
29Q498,053401,,053401,Queens
15K462,015500,015500,015500,Brooklyn
28Q440,074700,074700,074700,Queens
08X367,000400,000400,000400,Bronx
02M615,003700,003700,003700,Manhattan
04M610,017200,017200,017200,Manhattan
08X561,001600,001600,001600,Bronx
28Q896,023600,023600,023600,Queens
01M450,003400,003400,003400,Manhattan
27Q262,094201,094201,094201,Queens
18K576,095000,095000,095000,Brooklyn
02M551,,,,Manhattan
25Q281,084500,,084500,Queens
06M463,027700,027700,027700,Manhattan
17K546,081000,081000,081000,Brooklyn
25Q285,113900,113900,113900,Queens
26Q566,156700,156700,156700,Queens
03M479,015100,015100,015100,Manhattan
19K409,110400,110400,110400,Brooklyn
10X141,030900,030900,030900,Bronx
12X267,013100,013100,013100,Bronx
14K632,051700,051700,051700,Brooklyn
11X249,046201,046201,046201,Bronx
06M211,029100,029100,029100,Manhattan
28Q680,126700,126700,126700,Queens
30Q301,000100,,000100,Queens
06M467,027700,027700,027700,Manhattan
04M680,017200,017200,017200,Manhattan
20K505,046800,046800,046800,Brooklyn
17K600,021300,021300,021300,Brooklyn
14K488,051900,051900,051900,Brooklyn
03M494,015100,015100,015100,Manhattan
06M552,025100,025100,025100,Manhattan
27Q308,005800,005800,005800,Queens
02M439,005800,005800,005800,Manhattan
31R460,018100,018100,018100,Staten Island
29Q327,043200,043200,043200,Queens
19K404,107000,107800,107000,Brooklyn
11X513,040400,040400,040400,Bronx
20K490,004600,004600,004600,Brooklyn
06M468,027700,027700,027700,Manhattan
